product_category_name,product_category_name_english,product_category_type
audio,audio,tech_product
pcs,computers,tech_product
informatica_acessorios,computers_accessories,tech_product
eletronicos,electronics,tech_product
pc_gamer,pc_gamer,tech_product
tablets_impressao_imagem,tablets_printing_image,tech_product
telefonia,telephony,tech_product
agro_industria_e_comercio,agro_industry_and_commerce,non_tech_product
climatizacao,air_conditioning,non_tech_product
artes,art,non_tech_product
artes_e_artesanato,arts_and_craftmanship,non_tech_product
automotivo,auto,non_tech_product
bebes,baby,non_tech_product
cama_mesa_banho,bed_bath_table,non_tech_product
livros_interesse_geral,books_general_interest,non_tech_product
livros_importados,books_imported,non_tech_product
livros_tecnicos,books_technical,non_tech_product
cds_dvds_musicais,cds_dvds_musicals,non_tech_product
artigos_de_natal,christmas_supplies,non_tech_product
cine_foto,cine_photo,non_tech_product
consoles_games,consoles_games,non_tech_product
construcao_ferramentas_construcao,construction_tools_construction,non_tech_product
construcao_ferramentas_iluminacao,construction_tools_lights,non_tech_product
construcao_ferramentas_seguranca,construction_tools_safety,non_tech_product
cool_stuff,cool_stuff,non_tech_product
construcao_ferramentas_jardim,costruction_tools_garden,non_tech_product
construcao_ferramentas_ferramentas,costruction_tools_tools,non_tech_product
fraldas_higiene,diapers_and_hygiene,non_tech_product
bebidas,drinks,non_tech_product
dvds_blu_ray,dvds_blu_ray,non_tech_product
fashion_roupa_feminina,fashio_female_clothing,non_tech_product
fashion_bolsas_e_acessorios,fashion_bags_accessories,non_tech_product
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,non_tech_product
fashion_roupa_masculina,fashion_male_clothing,non_tech_product
fashion_calcados,fashion_shoes,non_tech_product
fashion_esporte,fashion_sport,non_tech_product
fashion_underwear_e_moda_praia,fashion_underwear_beach,non_tech_product
telefonia_fixa,fixed_telephony,non_tech_product
flores,flowers,non_tech_product
alimentos,food,non_tech_product
alimentos_bebidas,food_drink,non_tech_product
moveis_quarto,furniture_bedroom,non_tech_product
moveis_decoracao,furniture_decor,non_tech_product
moveis_sala,furniture_living_room,non_tech_product
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,non_tech_product
ferramentas_jardim,garden_tools,non_tech_product
beleza_saude,health_beauty,non_tech_product
eletrodomesticos,home_appliances,non_tech_product
eletrodomesticos_2,home_appliances_2,non_tech_product
casa_conforto_2,home_comfort_2,non_tech_product
casa_conforto,home_confort,non_tech_product
casa_construcao,home_construction,non_tech_product
utilidades_domesticas,housewares,non_tech_product
industria_comercio_e_negocios,industry_commerce_and_business,non_tech_product
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,non_tech_product
la_cuisine,la_cuisine,non_tech_product
malas_acessorios,luggage_accessories,non_tech_product
market_place,market_place,non_tech_product
musica,music,non_tech_product
instrumentos_musicais,musical_instruments,non_tech_product
moveis_escritorio,office_furniture,non_tech_product
outros,others,non_tech_product
artigos_de_festas,party_supplies,non_tech_product
perfumaria,perfumery,non_tech_product
pet_shop,pet_shop,non_tech_product
portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_food_processors,non_tech_product
seguros_e_servicos,security_and_services,non_tech_product
sinalizacao_e_seguranca,signaling_and_security,non_tech_product
eletroportateis,small_appliances,non_tech_product
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,non_tech_product
esporte_lazer,sports_leisure,non_tech_product
papelaria,stationery,non_tech_product
brinquedos,toys,non_tech_product
relogios_presentes,watches_gifts,non_tech_product
